약국명,위도,경도,주소,주소2
옵티마힐링약국,33.5178427402212,126.572794072486,"제주특별자치도 제주시 동화로 28, 1층 ",화북일동
밝은약국,33.48665568526,126.4311189103,"제주특별자치도 제주시 우정로 69, 1층 ",외도일동
메디팜감초당약국,33.5232786326305,126.855869740474,제주특별자치도 제주시 구좌읍 구좌로 42,구좌읍 세화리
화북약국,33.5190229158855,126.566846605617,제주특별자치도 제주시 일주동로 199 ,화북일동
제일약국,33.5233019464664,126.856614176205,제주특별자치도 제주시 구좌읍 구좌로 47,구좌읍 세화리
추자약국,33.9637380321474,126.296964800114,제주특별자치도 제주시 추자면 추자로 20,추자면 대서리
인수당건재약국,33.5129538615179,126.525174274985,제주특별자치도 제주시 관덕로 54-2 ,이도일동
함덕하나로약국,33.5365660075389,126.674912222026,제주특별자치도 제주시 조천읍 함와로 40,조천읍 함덕리
센타약국,33.4961300404314,126.531799909918,"제주특별자치도 제주시 중앙로 266, 1층 102호 ",이도이동
청사약국,33.498840457724,126.530145502453,"제주특별자치도 제주시 중앙로 234, 1층 ",이도이동
동의당온누리약국,33.5147231699557,126.532171968381,제주특별자치도 제주시 만덕로 21 ,건입동
고승아약국,33.5079413615319,126.540471800294,제주특별자치도 제주시 동광로 131 ,일도이동
우주약국,33.5119148080676,126.512347253755,제주특별자치도 제주시 용담로 92 ,용담이동
미소약국,33.4888313001214,126.476679743326,제주특별자치도 제주시 월랑로8길 1 ,노형동
365매일약국,33.5194197845023,126.569766497722,제주특별자치도 제주시 일주동로 227 ,화북일동
대원온누리약국,33.5172612012089,126.587988242861,"제주특별자치도 제주시 화삼북로 139, 1층 ",삼양이동
아라약국,33.4643785619656,126.319970894671,제주특별자치도 제주시 애월읍 애월로 120,애월읍 애월리
보은약국,33.5003180347391,126.515202972713,제주특별자치도 제주시  서광로  175 ,용담일동
주원약국,33.4926491670383,126.535272367644,제주특별자치도 제주시 중앙로 318 ,이도이동
탑동보룡약국,33.517560202795,126.522460881414,제주특별자치도 제주시 탑동로 24 ,삼도이동
동서약국,33.4155325327961,126.265313622355,제주특별자치도 제주시 한림읍 한림로 682,한림읍 한림리
세브란스약국,33.5048156552258,126.537739354044,제주특별자치도 제주시 동광로 90 ,이도이동
한림약국,33.415492274444,126.264925102571,제주특별자치도 제주시 한림읍 한림로 679,한림읍 한림리
시원한약국,33.5170666641725,126.580288525295,"제주특별자치도 제주시 화삼북로 68, 삼화지구 신형빌딩 1층 102호 ",도련일동
영재약국,33.5421128303994,126.66441730071,제주특별자치도 제주시 조천읍 신북로 510-1,조천읍 함덕리
세원약국,33.4866900263728,126.478263449417,"제주특별자치도 제주시 월랑로 5, 1층 ",노형동
새봄약국,33.4836219692901,126.480144305382,"제주특별자치도 제주시 1100로 3333, B호 ",노형동
수성약국,33.5002443677642,126.514947797042,제주특별자치도 제주시 서광로 173 ,용담일동
